iter	MultiClass
0	0.6024703248
1	0.468052788
2	0.4034288246
3	0.3671623235
4	0.3466951672
5	0.3271041916
6	0.3144469402
7	0.3076555624
8	0.3029156655
9	0.2979662544
10	0.2948398116
11	0.287909563
12	0.2839875665
13	0.2805222755
14	0.2764466205
15	0.2740548427
16	0.2716969883
17	0.2691626139
18	0.2668252928
19	0.2634434615
20	0.2614383139
21	0.2605408951
22	0.2581864972
23	0.2559930904
24	0.253684534
25	0.2519531175
26	0.2496408352
27	0.2469201274
28	0.2454029739
29	0.2421638158
30	0.2387657144
31	0.2376308794
32	0.2358145271
33	0.2336114428
34	0.2316465543
35	0.2302528297
36	0.229254195
37	0.228052682
38	0.2273577472
39	0.2257748181
40	0.2243658305
41	0.2233451479
42	0.2225534772
43	0.2218863752
44	0.2210945926
45	0.2198770361
46	0.2189507081
47	0.2173544232
48	0.2160117293
49	0.2147790908
