iter	Passed	Remaining
0	48	2358
1	83	2012
2	118	1848
3	153	1766
4	181	1637
5	216	1586
6	282	1734
7	339	1782
8	376	1713
9	413	1654
10	444	1574
11	482	1527
12	528	1504
13	588	1513
14	621	1451
15	655	1393
16	694	1349
17	725	1290
18	756	1233
19	812	1218
20	856	1182
21	901	1147
22	953	1119
23	988	1070
24	1018	1018
25	1047	967
26	1085	924
27	1117	877
28	1147	831
29	1180	786
30	1213	743
31	1239	697
32	1271	655
33	1303	613
34	1340	574
35	1368	532
36	1402	492
37	1436	453
38	1470	414
39	1498	374
40	1529	335
41	1560	297
42	1588	258
43	1616	220
44	1647	183
45	1676	145
46	1723	109
47	1813	75
48	1857	37
49	1917	0
